Count,ph,k,p,n
1,6.4,2,0,0
1,6.4,,0,
2,6.4,2,0,1
3,6.4,2,1,0
4,6.4,2,1,1
5,6.4,2,0,1
6,6.4,2,0,0
7,6.4,2,2,0
8,6.8,2,0,0
9,6.4,2,1,0
10,6.4,2,2,0
10,6.4,,,
11,6.8,2,0,1
12,6.4,2,0,0
13,6.8,2,0,0
14,6.4,2,0,1
15,6.4,2,0,0
16,7.2,2,0,1
17,6.4,2,0,0
18,6,2,0,0
19,7.2,2,0,0
20,6,2,1,0
20,6,,,
21,6.4,2,0,0
22,7.2,2,2,0
23,6.4,2,0,0
24,7.2,2,2,0
25,7.2,2,0,1
26,6.4,2,0,0
27,6.4,2,2,0
28,6.8,1,2,0
29,4.8,1,2,0
30,5.8,1,0,0
30,5.8,,,
31,5.8,2,1,0
32,6,1,2,0
33,6.4,1,0,0
34,6.4,1,2,0
35,6.4,1,0,0
36,6.4,2,2,0
37,6,2,2,0
38,6,2,2,0
39,6,2,2,0
40,6.4,1,1,1
40,6.4,1,,
41,6.4,2,2,0
42,6.8,2,1,0
43,7.2,2,2,0
44,7.2,2,2,0
45,6.8,2,2,0
46,7.2,1,2,0
47,7.2,2,0,0
48,7.2,1,1,0
49,6.8,1,1,0
50,6.8,0,2,0
50,6.8,0,,
51,6.8,2,2,0
52,6.8,2,2,0
53,6.8,2,2,0
54,6.4,2,2,0
55,6.4,2,2,0
56,7.2,2,2,0
57,7.2,1,2,0
58,7.2,1,2,0
59,7.2,2,2,0
60,7.2,2/1,1,0
60,7.2,1,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,7.2,1,0,
67,7.2,1,0,0
68,7.2,1,1,1
69,6.8,1,1,0
70,7.2,0,0,0
70,7.2,0,,
71,6.8,1,0,0
72,7.2,1,1,0
73,7.2,1,1,1
74,7.2,2,1,0
75,7.2,1,0,0
76,7.2,1,2,0
77,7.2,1,1,1
78,7.2,1,2,0
79,7.2,1,2,1
80,6.8,0,2,0
80,6.8,0,,
81,6.8,1,1,0
82,6.8,1,1,0
83,6.8,1,1,0
84,7.2,1,2,0
85,7.2,1,2,0
86,7.2,1,2,0
87,7.2,0,2,0
88,6.8,0,2,0
89,7.2,0,2,0
90,7.2,0,2,0
90,7.2,,,
91,7.2,0,0,0
92,7.2,0,1,0
93,7.2,0,2,1
94,6.4,0,2,0
95,7.2,1,0,0
96,7.2,1,1,0
97,7.2,0,1,0
98,7.2,0,2,0
99,6.8,0,1,0
100,7.2,0,1,0
100,7.2,,,
101,7.2,0,0,1
102,7.2,0,0,1
103,7.2,0,0,2
104,7.2,0,0,0
105,7.2,0,2,0
106,7.2,0,1,0
107,7.2,0,1,0
108,6.8,1,0,0
109,7.2,1,1,0
110,6.4,1,0,0
110,6.4,,,
111,6.8,1,1,0
112,6.8,1,0,0
113,6.8,1,0,0
114,6.4,1,0,0
115,6.8,1,1,0
116,6.8,1,0,0
117,6.8,1,2,0
118,6.8,1,1,0
119,6.8,1,1,0
120,6,1,1,0
120,6,,,
121,7.2,0,1,0
122,6.4,1,1,0
123,6.8,1,0,0
124,5.8,1,2,0
125,7.2,0,1,0
126,7.2,1,0,0
127,7.2,1,0,0
128,5.8,1,2,0
129,5.8,0,2,0
130,7.2,1,2,0
130,7.2,,,
131,6.8,1,2,0
132,6.8,1,2,0
133,6.4,1,0,0
134,7.2,2,0,0
135,6.8,1,2,0
136,7.2,1,1,0
137,7.2,1,2,0
138,7.2,1,1,0
139,6.8,1,2,0
140,6.4,1,2,0
140,6.4,,,
141,6.8,1,2,0
142,6.4,1,2,0
143,6.8,1,2,0
144,6.8,0,2,0
145,6.8,0,1,0
146,7.2,1,2,0
147,6.4,0,2,0
148,6.8,1,2,0
149,7.2,2,1,0
150,6.4,1,2,0
150,6.4,,,
151,7.2,1,1,0
152,7.2,0,1,0
153,6.4,0,2,0
154,6.4,1,1,0
155,6.8,1,0,0
156,6.4,1,0,0
157,6.4,1,1,0
158,6.8,1,1,0
159,7.2,1,2,0
160,6.4,,2,0
160,6.4,,,
161,6.4,1,0,0
162,6.8,1,0,0
163,7.2,1,1,0
164,6.8,1,1,0
165,6.8,1,1,0
166,6.8,1,0,0
167,7.2,1,2,0
168,7.2,2,2,0
169,5.4,1,2,0
170,7.2,,2,0
170,7.2,,2,
171,7.2,1,1,0
172,6.2,1,2,0
173,6,1,2,0
174,7.2,1,2,0
175,6.4,1,2,0
176,5.4,1,2,0
177,7.2,1,2,0
178,7.2,1,2,0
179,6.8,1,2,0
180,7.2,,1,0
180,7.2,,,
181,6.8,1,2,0
182,6.8,1,1,0
183,6.4,1,1,0
184,6.4,1,1,0
185,7.2,2,2,0
